ano,construcoes,u,moeda,hipoteca,juros,pibr
1973,2045.300048828125,4.900000095367432,855.5,7.960000038146973,8.029999732971191,4912.7998046875
1974,1337.699951171875,5.599999904632568,902.0999755859376,8.920000076293945,10.8100004196167,4885.7001953125
1975,1160.4000244140625,8.5,1016.2000122070312,9.0,7.860000133514404,4875.39990234375
1976,1537.5,7.699999809265137,1152.0,9.0,6.840000152587891,5136.89990234375
1977,1987.0999755859373,7.099999904632568,1270.300048828125,9.020000457763672,6.829999923706055,5373.10009765625
1978,2020.300048828125,6.099999904632568,1366.0,9.5600004196167,9.0600004196167,5672.7998046875
1979,1745.0999755859375,5.800000190734863,1473.699951171875,10.779999732971191,12.670000076293944,5850.10009765625
1980,1292.199951171875,7.099999904632568,1599.800048828125,12.65999984741211,15.260000228881836,5834.0
1981,1084.199951171875,7.599999904632568,1755.5,14.699999809265137,18.8700008392334,5982.10009765625
1982,1062.199951171875,9.699999809265137,1907.0999755859373,15.140000343322754,14.850000381469728,5865.89990234375
1983,1703.0,9.600000381469728,2124.199951171875,12.56999969482422,10.789999961853027,6130.89990234375
1984,1749.5,7.5,2307.300048828125,12.380000114440918,12.039999961853027,6571.5
1985,1741.800048828125,7.199999809265137,2493.0,11.550000190734863,9.93000030517578,6843.39990234375
1986,1805.4000244140625,7.0,2729.60009765625,10.170000076293944,8.329999923706055,7080.5
1987,1620.5,6.199999809265137,2829.39990234375,9.3100004196167,8.210000038146973,7307.0
1988,1488.0999755859375,5.5,2991.10009765625,9.1899995803833,9.31999969482422,7607.39990234375
1989,1376.0999755859375,5.300000190734863,3154.89990234375,10.130000114440918,10.869999885559082,7879.2001953125
1990,1192.699951171875,5.599999904632568,3272.89990234375,10.050000190734863,10.010000228881836,8027.10009765625
1991,1013.9000244140624,6.800000190734863,3371.89990234375,9.31999969482422,8.460000038146973,8008.2998046875
1992,1199.699951171875,7.5,3423.39990234375,8.239999771118164,6.25,8280.0
1993,1287.5999755859375,6.900000095367432,3472.800048828125,7.199999809265137,6.0,8516.2001953125
1994,1457.0,6.099999904632568,3485.699951171875,7.489999771118164,7.150000095367432,8863.099609375
1995,1354.0999755859375,5.599999904632568,3628.199951171875,7.869999885559082,8.829999923706055,9086.0
1996,1476.800048828125,5.400000095367432,3806.800048828125,7.800000190734863,8.270000457763672,9425.7998046875
1997,1474.0,4.900000095367432,4020.10009765625,7.710000038146973,8.4399995803833,9845.900390625
1998,1616.9000244140625,4.5,4360.10009765625,7.070000171661377,8.350000381469727,10274.7001953125
1999,1640.9000244140625,4.199999809265137,4617.7998046875,7.039999961853027,8.0,10770.7001953125
2000,1568.699951171875,4.0,4898.0,7.519999980926514,9.229999542236328,11216.400390625
2001,1602.699951171875,4.699999809265137,5400.7001953125,7.0,6.909999847412109,11337.5
2002,1704.9000244140625,5.800000190734863,5739.39990234375,6.429999828338623,4.670000076293945,11543.099609375
2003,1847.699951171875,6.0,6036.7998046875,5.800000190734863,4.119999885559082,11836.400390625
2004,1955.800048828125,5.5,6388.5,5.769999980926514,4.340000152587891,12246.900390625
2005,2068.300048828125,5.099999904632568,6654.60009765625,5.940000057220459,6.190000057220459,12623.0
2006,1800.9000244140625,4.599999904632568,7038.39990234375,6.630000114440918,7.960000038146973,12958.5
2007,1355.0,4.599999904632568,7448.39990234375,6.409999847412109,8.050000190734863,13206.400390625
2008,905.5,5.800000190734863,8183.2001953125,6.050000190734863,5.090000152587891,13161.900390625
2009,554.0,9.300000190734863,8486.599609375,5.139999866485596,3.25,12757.900390625
2010,586.9000244140625,9.600000381469728,8781.7998046875,4.800000190734863,3.25,13063.0
2011,608.7999877929688,8.899999618530273,9637.099609375,4.559999942779541,3.25,13299.099609375
